tf	tg
Adnp2	Armc10
Adnp2	Kdm1a
Adnp2	Ssrp1
Ahr	Ctsh
Ahr	Eps8l2
Ahr	Gpr19
Ahr	Hpgd
Ahr	Pomc
Ahr	Scnn1a
Ahr	Sdc1
Ahr	1700025K23Rik
Arnt2	AW112010
Arnt2	Ahi1
Arnt2	Aplp1
Arnt2	C77370
Arnt2	Celf4
Arnt2	Cntn1
Arnt2	Crmp1
Arnt2	Ctnna2
Arnt2	Dner
Arnt2	Fam19a5
Arnt2	Fmn2
Arnt2	Fzd3
Arnt2	Gabrb3
Arnt2	Glrb
Arnt2	Gpr85
Arnt2	Gria2
Arnt2	H2afy2
Arnt2	Kif5c
Arnt2	Lrrtm2
Arnt2	Magee1
Arnt2	March9
Arnt2	Nap1l2
Arnt2	Nap1l5
Arnt2	Npas3
Arnt2	Pak3
Arnt2	Pfn2
Arnt2	Prkar1b
Arnt2	Rims2
Arnt2	Rreb1
Arnt2	Scn8a
Arnt2	Sgtb
Arnt2	Snap91
Arnt2	Stmn3
Arnt2	Synpr
Arnt2	Syt11
Arnt2	Tram1l1
Arnt2	Unc5c
Arnt2	Zcchc18
Arnt2	Zfp354c
Arnt2	2810037O22Rik
Arnt2	4832406H04Rik
Arnt2	6330407J23Rik
Arnt2	A930009E05Rik
Arnt2	Agpat2
Arnt2	Bai3
Arnt2	C030034E14Rik
Arnt2	Casc4
Arnt2	Csrnp2
Arnt2	D3Bwg0562e
Arnt2	D630045J12Rik
Arnt2	Dlgap1
Arnt2	E130309F12Rik
Arnt2	Fam171b
Arnt2	Inpp5f
Arnt2	Lonrf2
Arnt2	Lrrtm4
Arnt2	Mtap2
Arnt2	Nalcn
Arnt2	Nfasc
Arnt2	Pcyt1b
Arnt2	Rab39b
Arnt2	Rimkla
Arnt2	Rnf182
Arnt2	Rnft2
Arnt2	Slc35f1
Arnt2	Srsf12
Arnt2	Syt16
Arnt2	Tmem108
Arnt2	Trim9
Arx	Aff2
Arx	Bex2
Arx	C77370
Arx	Cadps
Arx	Camk1g
Arx	Ctnna2
Arx	D430019H16Rik
Arx	Ddx25
Arx	Eid1
Arx	Fam184b
Arx	Fzd3
Arx	Hapln1
Arx	Hdgfrp3
Arx	Inha
Arx	Kif3a
Arx	Lrrn1
Arx	Ndn
Arx	Nnat
